ID X CRN ERROR
CB02 28.23851 4482.405555 584.4441192
CB03 46.04308 4520.640091 633.7758472
CB04 66.09049 6591.91234 635.4657414
CB05 82.98375 9242.484791 658.0214632
CB10b 91.36238 8112.782682 802.1738961
CB10a 92.63957 9129.439418 693.6246799
CB06 102.0415 10063.76525 706.6940913
CB07 116.4768 11880.39893 669.3632156
CB08 134.5593 12802.42941 702.1956196
CB09 144.645 11058.50277 763.4127055
CB11 146.4229 12843.32609 690.9519865
CB24 154.4679 9728.754906 1291.323987
CB23 161.2349 14550.99081 1610.786854
CB22 170.3873 13304.41764 1070.923398
CB21 180.7544 14818.00318 1150.902213
CB28 196.517 9266.351865 846.139027
CB27b 203.1768 7766.605761 755.9540957 
CB27a 203.557 10026.01269 918.9477757
CB26 211.5945 10383.48714 1341.500902
CB25 219.3491 7269.746083 1219.337023


