DistAlong	ZIDW
40	1.136118092
40.5	1.070013874
41	1.088212676
41.5	1.325647752
42	1.499181063
42.5	1.12445058
43	0.935620098
43.5	0.882148528
44	0.880580285
44.5	0.897646749
45	0.900611075
45.5	0.902885316
46	0.883672312
46.5	0.805720191
47	0.791065186
47.5	0.7824802
48	0.766836945
48.5	0.776941424
49	0.788083623
49.5	0.797482187
50	0.821871549
50.5	0.820765948
51	0.777876198
51.5	0.739440858
52	0.690545455
52.5	0.669434712
53	0.674620895
53.5	0.691752185
54	0.70394625
54.5	0.720871715
55	0.712670933
55.5	0.67919476
56	0.688941148
56.5	0.656516951
57	0.569486833
57.5	0.540137692
58	0.533992432
58.5	0.530616894
59	0.547909004
59.5	0.554891783
60	0.494855104
60.5	0.485938464
61	0.518751198
61.5	0.466594066
62	0.397621406
62.5	0.334437871
63	0.343512817
63.5	0.388101906
64	0.40717152
64.5	0.392034784
65	0.39150098
65.5	0.392566695
66	0.35767424
66.5	0.323343772
67	0.336793024
67.5	0.363936855
68	0.336909065
68.5	0.289509269
69	0.291564733
69.5	0.261931156
70	0.251057412
70.5	0.241254706
71	0.255918297
71.5	0.259393857
72	0.205415102
72.5	0.181775838
73	0.254194207
73.5	0.334172342
74	0.388471026
74.5	0.38378659
75	0.392186146
75.5	0.391946389
76	0.319609787
76.5	0.251690781
77	0.178310015
77.5	0.197949503
78	0.227682719
78.5	0.238082497
79	0.194585064
79.5	0.034252211
80	-0.080458015
80.5	-0.052521845
81	0.090994371
81.5	0.279898024
82	0.344935649
82.5	0.319478206
83	0.255738632
83.5	0.173820513
84	0.002778923
84.5	-0.169514578
85	-0.291248865
85.5	-0.347817099
86	-0.29756637
86.5	-0.207620805
87	-0.174667918
87.5	-0.099574376
88	-0.044060886
88.5	0.004404951
89	0.100161775
89.5	0.142590183
90	0.155489635
90.5	0.129305221
91	0.089040061
91.5	0.04888947
92	-0.021139725
92.5	-0.055734026
93	-0.074281717
93.5	-0.075030883
94	0.019287337
94.5	0.047208826
95	0.108728462
95.5	0.123173005
96	0.127682849
96.5	0.126305877
97	0.078314613
97.5	-0.019730366
98	-0.077976034
98.5	-0.074135895
99	-0.101731353
99.5	-0.179926169
100	-0.243667026
100.5	-0.35044335
101	-0.413116828
101.5	-0.444920241
102	-0.435773572
102.5	-0.351902619
103	-0.254899552
103.5	-0.194537607
104	-0.192989496
104.5	-0.202224169
105	-0.201542172
105.5	-0.19263258
106	-0.211818592
106.5	-0.245740166
107	-0.2907384
107.5	-0.305691845
108	-0.325183673
108.5	-0.371877353
109	-0.41049343
109.5	-0.422686891
110	-0.466166822
110.5	-0.50670507
111	-0.537225222
111.5	-0.550939322
112	-0.529301405
112.5	-0.506421815
113	-0.484987647
113.5	-0.477691196
114	-0.43026951
114.5	-0.382867155
115	-0.377581526
115.5	-0.397626037
116	-0.394866147
116.5	-0.430235228
117	-0.429780267
117.5	-0.40919946
118	-0.426458309
118.5	-0.553076854
119	-0.594806233
119.5	-0.582204595
120	-0.57703902
120.5	-0.549367797
121	-0.430504718
121.5	-0.444907263
122	-0.486787265
122.5	-0.485430986
123	-0.508989919
123.5	-0.545990496
124	-0.550341011
124.5	-0.554123813
125	-0.552862839
125.5	-0.532088256
126	-0.414866752
126.5	-0.284108771
127	-0.295323299
127.5	-0.323225068
128	-0.283880069
128.5	-0.28430056
129	-0.298456578
129.5	-0.30250892
130	-0.332036684
130.5	-0.34334134
131	-0.36397804
131.5	-0.376632943
132	-0.363882669
132.5	-0.32877942
133	-0.327739663
133.5	-0.379542328
134	-0.428280888
134.5	-0.479478032
135	-0.485950596
135.5	-0.49795902
136	-0.522658654
136.5	-0.586878212
137	-0.645102722
137.5	-0.733146787
138	-0.696503217
138.5	-0.593008834
139	-0.53811333
139.5	-0.464439584
140	-0.359629002
140.5	-0.352989351
141	-0.38412221
141.5	-0.390733792
142	-0.364434781
142.5	-0.33312902
143	-0.338038628
143.5	-0.370915186
144	-0.410475843
144.5	-0.437351733
145	-0.468661131
145.5	-0.498297553
146	-0.525148176
146.5	-0.620397688
147	-0.759906748
147.5	-0.874355001
148	-1.008602506
148.5	-1.115276097
149	-1.210912684
149.5	-1.249546588
150	-1.292370384
150.5	-1.310260773
151	-1.336721044
151.5	-1.36989156
152	-1.384419721
152.5	-1.376688485
153	-1.362308377
153.5	-1.351455641
154	-1.347916498
154.5	-1.337430435
155	-1.339230992
155.5	-1.351116561
156	-1.386529943
156.5	-1.431825939
157	-1.421361025
157.5	-1.413546598
158	-1.433813924
158.5	-1.430623243
159	-1.39974396
159.5	-1.303824634
160	-1.206866147
160.5	-1.142132958
161	-1.149343364
161.5	-1.163408774
162	-1.198059562
162.5	-1.241908202
163	-1.256911278
163.5	-1.276139393
164	-1.510349791
164.5	-1.748806866
165	-1.67350729
165.5	-1.6748471
166	-1.848005575
166.5	-1.878316753
167	-1.958231043
167.5	-2.028945696
168	-1.782738735
168.5	-1.581084327
169	-1.433914711
169.5	-1.356567737
170	-1.33725664
170.5	-1.324315226
171	-1.291050735
171.5	-1.264254197
172	-1.265013466
172.5	-1.277642012
173	-1.272376147
173.5	-1.248869068
174	-1.239671065
174.5	-1.287434292
175	-1.333036303
175.5	-1.359816472
176	-1.389859924
176.5	-1.393083605
177	-1.375215941
177.5	-1.389683115
178	-1.394915629
178.5	-1.397352753
179	-1.857284355
179.5	-2.083308639
180	-2.079673933
180.5	-2.047176571
181	-2.023639604
181.5	-2.049545026
182	-2.102741329
182.5	-2.160210633
183	-2.187339469
183.5	-2.198391362
184	-2.185934978
184.5	-2.150732056
185	-2.084811211
185.5	-2.033373752
186	-1.982114147
186.5	-1.971397775
187	-1.968864981
187.5	-1.96860857
188	-1.964690074
188.5	-1.955631381
189	-1.961265662
189.5	-1.992975561
190	-2.012045622
190.5	-2.172649667
191	-2.189261013
191.5	-2.204082656
192	-2.20578958
192.5	-2.185812329
193	-2.151800697
193.5	-2.107904766
194	-2.090409534
194.5	-2.105113255
195	-2.133358998
195.5	-2.193861069
196	-2.209839429
196.5	-2.216124
197	-2.233477504
197.5	-2.251470316
198	-2.293695481
198.5	-2.204681735
199	-2.168285686
199.5	-2.303120455
200	-2.294232723
200.5	-2.245294989
201	-2.226388306
201.5	-2.189407204
202	-2.163261692
202.5	-2.178771018
203	-2.219596544
203.5	-2.289827369
204	-2.553366409
204.5	-2.658441697
205	-2.719258457
205.5	-2.904217043
206	-3.02123675
206.5	-2.92941797
207	-2.85512735
207.5	-2.828461334
208	-2.753927678
208.5	-2.707620765
209	-2.760015642
209.5	-2.914366654
210	-3.064127726
210.5	-3.17469392
211	-3.152366733
211.5	-3.082904269
212	-2.960923027
212.5	-2.799741247
213	-2.617185371
213.5	-2.512179307
214	-2.412696903
214.5	-2.363999443
215	-2.29419956
215.5	-2.325533223
216	-2.393968031
216.5	-2.493903496
217	-2.713724822
217.5	-2.793384743
218	-2.802938515
218.5	-2.807203867
219	-2.763875001
219.5	-2.683082472
220	-2.577924208
220.5	-2.543245418
221	-2.524133163
221.5	-2.573782511
222	-2.633826705
222.5	-2.716383912
223	-2.81040116
223.5	-2.861187713
224	-2.81490811
224.5	-2.763106323
225	-2.682955703
225.5	-2.621630899
226	-2.653643359
226.5	-2.678283103
227	-2.602779126
227.5	-2.535185837
228	-2.52735157
228.5	-2.566550399
229	-2.609999665
229.5	-2.649820029
230	-2.650065572
230.5	-2.635410858
231	-2.624577379
231.5	-2.602591449
232	-2.581005483
232.5	-2.574840505
233	-2.613611698
233.5	-2.58950009
234	-2.583446275
234.5	-2.589220729
235	-2.556283916
235.5	-2.555060086
236	-2.5930182
236.5	-2.651229043
237	-2.671526468
237.5	-2.635324325
238	-2.590741324
238.5	-2.607735616
239	-2.631431537
239.5	-2.69872276
240	-2.725586717
240.5	-2.726342188
241	-2.74659158
241.5	-2.792547019
242	-2.838133494
242.5	-2.894142847
243	-2.936502313
243.5	-2.967872468
244	-2.985704401
244.5	-2.986489522
245	-3.020987975
245.5	-3.217409897
246	-3.445948807
246.5	-3.565720443
247	-3.367375624
247.5	-3.122427556
248	-3.071010727
248.5	-3.087034272
249	-3.123509395
249.5	-3.16147781
250	-3.209528583
250.5	-3.246974468
251	-3.392127752
251.5	-3.502419299
252	-3.558788171
252.5	-3.587942519
253	-3.639158134
253.5	-3.637785175
254	-3.624606657
254.5	-3.604251268
255	-3.621397598
255.5	-3.637436335
256	-3.65407432
256.5	-3.687473101
257	-3.659500504
257.5	-3.611586253
258	-3.61420471
258.5	-3.567651497
259	-3.480380543
259.5	-3.509488381
260	-3.55237775
260.5	-3.582800621
261	-3.655745903
261.5	-3.708486049
262	-3.70999236
262.5	-3.704808888
263	-3.715849337
263.5	-3.731530763
264	-3.901983455
264.5	-4.735720069
265	-4.880314818
265.5	-4.238058532
266	-3.670967372
266.5	-3.54526002
267	-3.258387842
267.5	-3.190906012
268	-3.171047166
268.5	-3.169457912
269	-3.154884421
269.5	-3.177458964
270	-3.212158738
270.5	-3.248036047
271	-3.326538998
271.5	-3.251215724
272	-3.204391546
272.5	-3.153507995
273	-3.049294102
273.5	-3.01543918
274	-2.990183862
274.5	-3.064488537
275	-3.155226717
275.5	-3.212473156
276	-3.158763226
276.5	-3.11643967
277	-3.242102963
277.5	-3.401336295
278	-3.45956694
278.5	-3.653628106
279	-3.731455466
279.5	-3.576331194
280	-3.496950866
280.5	-3.293984989
281	-3.448040586
281.5	-3.690401411
282	-3.698835362
282.5	-3.700444165
283	-3.711622952
283.5	-3.722046642
284	-3.722077794
284.5	-3.721271987
285	-3.720374799
285.5	-3.720068539
286	-3.719835206
286.5	-3.719733714
287	-3.71965597
287.5	-3.719654799
