X Z
6.027881457407407595e+01 -3.851851840740740385e-01
6.295359662962962943e+01 -4.518518481481481608e-01
6.563893586792453050e+01 -4.873584894339622609e-01
6.830350379245282966e+01 -4.922641498113207170e-01
7.099886048148148632e+01 -5.418518485185185307e-01
7.368371169811319987e+01 -6.245282994339622640e-01
7.633366829629629535e+01 -6.724074094444444372e-01
7.904336364814815852e+01 -6.859259266666667409e-01
8.171852605555555726e+01 -7.062962948148148179e-01
8.440390549056603220e+01 -6.873584898113206387e-01
8.705808856603773904e+01 -6.792452807547169069e-01
8.974383214545454734e+01 -6.710909050909090734e-01
9.241786799999999857e+01 -6.755769199999999142e-01
9.507954999999999757e+01 -6.334545414545454944e-01
9.777719730188678682e+01 -6.100000024528302589e-01
1.004346355283018823e+02 -5.943396237735849574e-01
1.031114492452830262e+02 -5.767924503773584899e-01
1.057943037037037044e+02 -6.342592614814814844e-01
1.084871116666666779e+02 -6.748148155555555583e-01
1.111544411320754762e+02 -7.532075498113207646e-01
1.138219207407407367e+02 -8.075925944444444227e-01
1.165143496296296348e+02 -8.631481498148148024e-01
1.191654578846153782e+02 -9.121153884615385010e-01
1.218236405660377244e+02 -9.660377443396226393e-01
1.245007394444444486e+02 -1.023518536666666590e+00
1.272104357407407349e+02 -1.043518517962962910e+00
1.298602020754717046e+02 -1.089433963396226446e+00
1.325452424074074145e+02 -1.142222226481481417e+00
1.352207850000000064e+02 -1.197037029629629545e+00
1.379049783018867856e+02 -1.323773581132075439e+00
1.405905074074073866e+02 -1.448703714814814747e+00
1.432652883333333307e+02 -1.557962964814814777e+00
1.459753635185185203e+02 -1.584629635185185181e+00
1.486251716981132063e+02 -1.643962262264150986e+00
1.513101729629629801e+02 -1.720185188888889050e+00
1.539985601886792494e+02 -1.733962266037735844e+00
1.566703343396226558e+02 -1.755660375471698176e+00
1.593550549999999930e+02 -1.767814818518518516e+00
1.620302187037037243e+02 -1.782252570370370437e+00
1.647399142592592511e+02 -1.757666153703703715e+00
1.673905288679245302e+02 -1.734033537735849118e+00
1.700747205555555581e+02 -1.738374490740740796e+00
1.727531443396226223e+02 -1.749622639622641529e+00
1.754176685185184965e+02 -1.760185188888888863e+00
1.780870081132075597e+02 -1.794716984905660562e+00
1.807779125454545408e+02 -1.840000005454545340e+00
1.834467823076923025e+02 -1.942692294230769168e+00
1.860804799999999943e+02 -2.003962256603773806e+00
1.887811585185185095e+02 -2.068148133333333138e+00
1.914653369811320829e+02 -2.116415113207547272e+00
1.941346762962963055e+02 -2.095925949999999816e+00
1.967992005660377401e+02 -2.116037735849056745e+00
1.994953821818182007e+02 -2.079818143636363637e+00
2.021583978846153684e+02 -2.055576880769230730e+00
2.048124311111110956e+02 -2.107037027777777904e+00
2.075183088679245316e+02 -2.232264173584905809e+00
2.101972898148148090e+02 -2.351666692592592423e+00
2.128820107547169584e+02 -2.472830184905660200e+00
2.155320972222222053e+02 -2.579259251851851786e+00
2.182421722222222513e+02 -2.605925937037036899e+00
2.208916013207547167e+02 -2.634150947169811463e+00
2.235769814814814538e+02 -2.660740727777777703e+00
2.262870564814814998e+02 -2.620740727777777668e+00
2.289618381481481322e+02 -2.687777764814814674e+00
2.316473664150943250e+02 -2.877358498113207652e+00
2.342966468518518468e+02 -3.045925924074074143e+00
2.370071031481481612e+02 -3.178703718518518073e+00
2.396676455769230927e+02 -3.218461582692307310e+00
2.423419094444444681e+02 -3.392037014814814899e+00
2.450516053703703960e+02 -3.563888885185185096e+00
2.477267688888888983e+02 -3.652592601851852194e+00
2.503868878846153905e+02 -3.719423074999999912e+00
2.530374683636363784e+02 -3.839999981818181585e+00
2.557461996226415124e+02 -3.977358498113207297e+00
2.583979039622641380e+02 -4.016415120754716739e+00
2.610800643396226519e+02 -4.076603775471697944e+00
2.637580420370370575e+02 -4.093333359259259119e+00
2.664250862264150896e+02 -4.100000009433962589e+00
