Time RSL
-20000 -87.4012527
-19000 -86.6151123
-18000 -85.7978897
-17000 -83.3180161
-16000 -80.5262222
-15000 -78.3814011
-14500 -74.1881104
-14000 -65.1834564
-13500 -53.6891327
-13000 -51.8541298
-12000 -48.2118835
-11500 -46.0757637
-11000 -43.7629623
-10000 -31.5425911
-9000 -24.1879539
-8000 -16.2801056
-7000 -9.25799465
-6000 -6.52582836
-5000 -4.54052448
-4000 -3.17640018
-3000 -1.96187496
-2000 -1.01696682
-1000 -0.416684151
0 0
10 0.0872316
20 0.396381
30 0.754827
40 1.13195
50 1.46816
60 1.78781
70 2.08052
80 2.35306
90 2.60668
100 2.83795
