ID X CRN ERROR
DB01 3.343179541 11732.53523 510.0239852
DB02 23.5067421 7568.857899 817.759846
DB03 43.45084838 17915.49202 673.7978709
DB04 63.09781602 17405.37685 548.5508097
DB05 62.28634076 22045.21246 599.6114937
DB06 79.89473271 18565.65306 550.1690756
DB07 99.22003586 16299.63379 487.2830091
DB08 113.3632651 13946.18369 503.080537
DB09 132.2530637 9926.604083 455.7055202
DB10 145.457949 12657.23479 443.9728506
DB10-2 145.4579 12121.98093 506.1895175
DB11 156.154 11978.03609 430.7505153
DB12 167.6622 11010.23439 477.4441743
DB12-2 167.6622 11328.96913 470.2650214
