ID X CRN ERROR
SY05 22.3145424 583.0667 376.9896
SY06 34.85936769 1509.663 419.7973
SY07 49.80384366 2772.609 427.4104
SY08 62.81118807 3352.864 411.1777
SY09 75.67127151 3950.293 417.5311
SY10 86.3377627 4508.259 444.5465
SY11 86.46724107 1843.787 387.6422
SY12 92.33172921 3618.472 455.2906
SY13 108.8787753 3685.919 456.5444
SY04 124.483528 3334.377 405.2942
SY03 136.6135593 4420.39 427.5776
SY02 144.8683174 3878.442 463.0758
SY01 156.431764 5676.194 437.8537
SY16 175.7106838 3801.536 783.48
SY15 192.9392216 5090.059 481.717
SY14 209.8526551 7547.987 484.1134
