DistAlong ZIDW
29.73 2.275834
30.38 2.209182
31.03 1.998053
31.68 1.988168
32.33 1.705622
32.98 1.784902
33.64 1.63355
34.29 1.463901
34.94 1.468014
35.59 1.680568
36.24 1.522427
36.89 1.497599
37.54 1.328975
38.19 1.368941
38.84 1.369023
39.49 1.329887
40.15 1.073844
40.8 1.036584
41.45 0.957098
42.1 1.040988
42.75 0.839783
43.4 0.840643
44.05 0.986242
44.7 0.935888
45.35 0.790879
46 0.732737
46.66 0.634378
47.31 0.574022
47.96 0.674155
48.61 0.415519
49.26 0.447711
49.91 0.683828
50.56 0.905523
51.21 0.877712
51.86 0.580477
52.51 -0.145686
53.17 -0.269464
53.82 -0.281048
54.47 -0.143057
55.12 -0.039195
55.77 -0.031465
56.42 0.21098
57.07 0.105411
57.72 0.03885
58.37 -0.039168
59.02 -0.050766
59.68 -0.136291
60.33 -0.260912
60.98 -0.390366
61.63 -0.443396
62.28 -0.470875
62.93 -0.501129
63.58 -0.500918
64.23 -0.458819
64.88 -0.459413
65.53 -0.416516
66.19 -0.350204
66.84 -0.466532
67.49 -0.150755
68.14 -0.251956
68.79 -0.289865
69.44 -0.422212
70.09 -0.468477
70.74 -0.438308
71.39 -0.391166
72.04 -0.424391
72.7 -0.50986
73.35 -0.520149
74 -0.350623
74.65 -0.381374
75.3 -0.242468
75.95 -0.277905
76.6 -0.345189
77.25 -0.29235
77.9 -0.359209
78.55 -0.525412
79.21 -0.513777
79.86 -0.514367
80.51 -0.495369
81.16 -0.51983
81.81 -0.493
82.46 -0.528852
83.11 -0.395261
83.76 -0.394257
84.41 -0.477126
85.06 -0.56617
85.72 -0.551762
86.37 -0.483407
87.02 -0.351731
87.67 0.294322
88.32 0.157805
88.97 -0.252074
89.62 -0.256684
90.27 -0.239518
90.92 -0.38254
91.57 -0.257903
92.23 -0.37176
92.88 -0.633317
93.53 -0.676126
94.18 -0.634349
94.83 -0.477737
95.48 -0.467745
96.13 -0.506814
96.78 -0.447918
97.43 -0.429706
98.08 -0.340138
98.74 -0.148861
99.39 0.378691
100 0.329077
100.7 0.225792
101.3 0.241757
102 0.275144
102.6 0.233807
103.3 0.362396
103.9 0.345044
104.6 0.443368
105.2 0.30809
105.9 0.267216
106.5 0.178041
107.2 0.241474
107.8 0.215925
108.5 0.173894
109.2 0.087065
109.8 0.129064
110.5 0.087027
111.1 0.015352
111.8 -0.066748
112.4 -0.082571
113.1 -0.156983
113.7 0.138619
114.4 0.077523
115 -0.17839
115.7 -0.320086
116.3 -0.395419
117 -0.379762
117.6 -0.248866
118.3 -0.195263
118.9 -0.281178
119.6 -0.361698
120.2 -0.451478
120.9 -0.493362
121.5 -0.557295
122.2 -0.526881
122.8 -0.442842
123.5 -0.559351
124.1 -0.357238
124.8 -0.553544
125.4 -0.564175
126.1 -0.584601
126.7 -0.662051
127.4 -0.635727
128 -0.580747
128.7 -0.566693
129.3 -0.636277
130 -0.661273
130.6 -0.670403
131.3 -0.498373
131.9 -0.452865
132.6 -0.35
133.2 -0.292875
133.9 -0.286831
134.5 -0.503065
135.2 -0.573654
135.8 -0.557258
136.5 -0.475707
137.1 -0.495651
137.8 -0.476226
138.4 -0.510428
139.1 -0.534754
139.7 -0.563411
140.4 -0.582323
141.1 -0.553406
141.7 -0.56442
142.4 -0.581399
143 -0.492228
143.7 -0.422873
144.3 -0.401864
145 -0.442928
145.6 -0.540079
146.3 -0.582618
146.9 -0.626855
147.6 -0.691415
148.2 -0.743518
148.9 -0.769571
149.5 -0.829464
150.2 -0.873067
150.8 -0.885352
151.5 -0.876062
152.1 -0.820543
152.8 -0.85488
153.4 -0.870692
154.1 -0.955672
154.7 -0.853997
155.4 -0.829472
156 -0.921568
156.7 -0.836853
157.3 -0.843398
158 -0.883544
158.6 -0.922567
159.3 -1.051396
159.9 -1.083073
160.6 -1.047135
161.2 -1.121613
161.9 -1.087855
162.5 -1.06712
163.2 -1.039783
163.8 -1.086561
164.5 -0.891102
165.1 -0.846954
165.8 -0.786179
166.4 -0.776509
167.1 -0.765831
167.7 -0.708572
168.4 -0.715998
169 -0.727086
169.7 -0.797333
170.3 -0.820095
171 -0.857726
171.6 -0.885455
172.3 -0.774163
172.9 -0.821674
173.6 -0.852791
174.3 -1.039214
174.9 -1.083123
175.6 -1.098293
176.2 -1.094528
176.9 -0.827841
177.5 -0.768294
178.2 -0.815264
178.8 -0.953501
179.5 -1.034311
180.1 -1.148076
180.8 -1.17655
181.4 -1.169657
182.1 -1.169214
182.7 -1.010352
183.4 -1.257053
184 -1.231623
184.7 -1.176093
185.3 -1.167723
186 -1.174495
186.6 -1.200359
187.3 -1.219538
187.9 -1.307585
188.6 -1.27969
189.2 -1.232251
189.9 -1.272145
190.5 -1.227589
191.2 -1.248025
191.8 -1.243657
192.5 -1.311687
193.1 -1.237018
193.8 -1.215094
194.4 -1.190391
195.1 -1.198002
195.7 -1.353476
196.4 -1.310104
197 -1.233999
197.7 -1.135134
198.3 -0.909534
199 -0.912151
199.6 -0.922363
200.3 -0.954515
200.9 -0.75362
201.6 -0.673573
202.2 -0.736236
202.9 -0.835881
203.5 -0.971044
204.2 -0.999702
204.8 -0.948356
205.5 -0.96723
206.2 -0.995863
206.8 -0.932139
207.5 -1.036849
208.1 -1.002455
208.8 -1.077942
209.4 -1.067824
210.1 -0.990716
210.7 -1.065881
211.4 -1.123806
212 -1.073166
212.7 -1.07205
213.3 -0.966449
214 -0.779318
214.6 -0.673857
215.3 -0.651729
215.9 -0.639935
216.6 -0.675663
217.2 -0.748796
217.9 -0.752575
218.5 -0.664738
219.2 -0.635662
219.8 -0.66159
220.5 -0.707919
221.1 -0.70619
221.8 -0.862722
222.4 -0.897821
223.1 -0.908906
223.7 -0.711422
224.4 -0.684981
225 -0.730523
225.7 -0.758308
226.3 -0.775311
