Time RSL
0 0
100 -0.024518
200 -0.049309
300 -0.074532
400 -0.100345
500 -0.126908
600 -0.15438
700 -0.182921
800 -0.212689
900 -0.243844
1000 -0.276548
1100 -0.310983
1200 -0.34735
1300 -0.385852
1400 -0.426693
1500 -0.470077
1600 -0.516208
1700 -0.56529
1800 -0.617527
1900 -0.673123
2000 -0.732262
2100 -0.79503
2200 -0.861414
2300 -0.93138
2400 -1.004895
2500 -1.081927
2600 -1.162442
2700 -1.246408
2800 -1.333791
2900 -1.424559
3000 -1.518637
3100 -1.615745
3200 -1.715396
3300 -1.817062
3400 -1.920215
3500 -2.024327
3600 -2.12887
3700 -2.233316
3800 -2.337137
3900 -2.439805
4000 -2.540954
4100 -2.641029
4200 -2.741288
4300 -2.843149
4400 -2.948032
4500 -3.057356
4600 -3.172539
4700 -3.295001
4800 -3.426161
4900 -3.567439
5000 -3.719962
5100 -3.883401
5200 -4.055971
5300 -4.235596
5400 -4.420199
5500 -4.607705
5600 -4.796036
5700 -4.983117
5800 -5.166871
5900 -5.345221
6000 -5.516907
6100 -5.684744
6200 -5.855626
6300 -6.037261
6400 -6.237357
6500 -6.463623
6600 -6.723768
6700 -7.025499
6800 -7.376526
6900 -7.784556
7000 -8.256163
7100 -8.792247
7200 -9.388033
7300 -10.037612
7400 -10.735075
7500 -11.474512
7600 -12.250014
7700 -13.055672
7800 -13.885576
7900 -14.733817
8000 -15.594517
8100 -16.461955
8200 -17.330567
8300 -18.194819
8400 -19.049178
8500 -19.888111
8600 -20.706084
8700 -21.497565
8800 -22.25702
8900 -22.978917
9000 -23.65975
9100 -24.306153
9200 -24.934901
9300 -25.564795
9400 -26.214637
9500 -26.903229
9600 -27.649373
9700 -28.471871
9800 -29.389525
9900 -30.421137
10000 -31.581003
