DistAlong ZIDW
28.4704 2.323728
28.5138 2.320026
28.5572 2.318394
28.6006 2.317948
28.644 2.318362
28.6874 2.320359
28.7308 2.326871
28.7742 2.336595
28.8176 2.345425
28.861 2.352411
28.9044 2.356575
28.9478 2.358466
28.9912 2.358773
29.0346 2.356901
29.078 2.352733
29.1214 2.346299
29.1648 2.33883
29.2082 2.330269
29.2516 2.321558
29.295 2.314131
29.3384 2.307455
29.3818 2.302227
29.4252 2.298536
29.4686 2.295405
29.512 2.292431
29.5554 2.288985
29.5988 2.285519
29.6422 2.281826
29.6856 2.278274
29.729 2.275834
29.7724 2.273269
29.8158 2.269662
29.8592 2.262814
29.9026 2.251423
29.946 2.239212
29.9894 2.228041
30.0328 2.219775
30.0762 2.215396
30.1196 2.212209
30.163 2.209795
30.2064 2.208354
30.2498 2.207444
30.2932 2.207501
30.3366 2.208557
30.38 2.209182
30.4234 2.208224
30.4668 2.205573
30.5102 2.201327
30.5536 2.19392
30.597 2.183152
30.6404 2.170072
31.031 1.998053
31.5084 2.019824
32.0292 1.772685
32.5066 1.740831
33.0274 1.775018
33.5048 1.641662
34.0256 1.530661
34.503 1.448778
35.0238 1.476129
35.5012 1.678952
36.022 1.606437
37.0636 1.564901
38.1052 1.346333
39.0166 1.409959
40.0148 1.07495
41.013 0.953159
42.0112 1.064157
43.0094 0.809922
44.0076 1.001151
45.0058 0.887128
46.1342 0.713452
47.0022 0.602647
48.0004 0.640131
50.0402 0.767189
51.0384 0.882263
52.0366 0.483176
53.0348 -0.267078
54.033 -0.261858
55.0312 -0.043167
56.0294 0.071762
57.0276 0.101721
58.0258 -0.020478
59.024 -0.050766
60.0222 -0.202949
61.0204 -0.397143
62.0186 -0.465212
63.0168 -0.505505
64.015 -0.462845
65.0132 -0.462047
66.0114 -0.321225
67.0096 -0.461351
68.0078 -0.245685
69.006 -0.326718
70.0042 -0.46833
71.0024 -0.411262
72.0006 -0.419091
73.0422 -0.531517
74.0404 -0.35444
75.0386 -0.263211
76.0368 -0.287437
77.035 -0.32928
78.0332 -0.427635
79.0314 -0.509826
80.0296 -0.511606
81.0278 -0.518797
82.026 -0.512287
83.0242 -0.402352
84.0224 -0.439947
85.064 -0.56617
86.0188 -0.53252
87.017 -0.351731
88.0152 0.250258
89.0134 -0.298819
90.0116 -0.22934
91.0098 -0.390365
92.008 -0.264419
93.0062 -0.653284
94.0044 -0.666952
95.0026 -0.479378
96.0008 -0.492688
97.0424 -0.437233
98.1274 -0.326723
99.0388 0.183023
100.037 0.329077
101.0352 0.226
102.0334 0.274575
104.0298 0.343871
105.0714 0.333403
106.0262 0.240463
107.0244 0.209997
108.066 0.197176
109.0208 0.108237
110.0624 0.161561
111.0606 0.014708
112.0154 -0.068355
113.0136 -0.153267
114.0986 0.101931
115.0534 -0.191587
116.0516 -0.376789
117.0498 -0.367871
118.0046 -0.174621
119.0028 -0.299609
120.0878 -0.453186
121.086 -0.534473
122.0408 -0.536445
123.039 -0.447885
124.0372 -0.371312
125.0354 -0.552005
126.0336 -0.583363
127.0318 -0.683925
128.0734 -0.580674
129.115 -0.575533
130.0698 -0.65945
131.0246 -0.536294
132.0228 -0.437897
133.0644 -0.290572
134.0192 -0.289553
135.0174 -0.564969
136.0156 -0.531409
137.0138 -0.494504
138.012 -0.48952
139.0102 -0.532592
140.0084 -0.572932
141.0066 -0.555901
142.0048 -0.558215
143.0898 -0.450328
144.0446 -0.423403
145.0862 -0.46337
146.0844 -0.555067
147.126 -0.623719 
148.0808 -0.732841 
149.0356 -0.769583
150.0338 -0.864006 
151.032 -0.88669
152.0302 -0.818691
153.0284 -0.847838
154.0266 -0.952964
155.0248 -0.823021
156.023 -0.921568
157.0212 -0.818446
158.0194 -0.883994
159.0176 -1.011288
160.0158 -1.082011
161.014 -1.074706
162.0556 -1.089882
163.0104 -1.034131
164.0086 -1.042737
165.0068 -0.861214
166.005 -0.772513
167.0032 -0.773352
168.0014 -0.710232
169.043 -0.727086
170.0412 -0.808464
171.0394 -0.86028
172.0376 -0.814377
173.0358 -0.835811
174.034 -1.006556
175.0322 -1.084177
176.0304 -1.106806
177.0286 -0.775563
178.0268 -0.793874
179.025 -1.008815
180.0232 -1.129673
181.0214 -1.171582
182.063 -1.169214
183.0178 -1.127363
184.016 -1.231623
185.0142 -1.17145
186.0124 -1.177499
187.0106 -1.215761
189.007 -1.23569
190.0052 -1.262944
191.0034 -1.251814
192.0016 -1.279434
193.0432 -1.259962
194.0414 -1.20354
195.0396 -1.194141
196.0378 -1.366296
197.036 -1.233999
198.0342 -1.015349
199.0324 -0.913406
200.0306 -0.952828
201.0288 -0.722058
202.027 -0.710199
203.0252 -0.866356
204.0234 -1.003923
205.065 -0.959337
206.0198 -1.001316
207.018 -1.025592
208.0162 -1.009482
209.0578 -1.130517
210.0126 -0.990873
211.0108 -1.099935
212.009 -1.073166
213.0072 -1.058048
214.0054 -0.773502
215.0036 -0.652944
216.0018 -0.646714
217 -0.71627
218.0416 -0.734147
219.0398 -0.63522
220.038 -0.672097
221.0362 -0.689346
222.0778 -0.904072
223.076 -0.908906
224.0308 -0.689081
225.029 -0.730523
226.0272 -0.776168
227.0688 -0.765788
228.0236 -0.796011
229.0652 -0.878552
230.02 -1.014373
231.0182 -0.926019
232.0598 -0.891537
233.0146 -1.030582
234.0128 -0.982512
234.0562 -0.978779
235.011 -1.0708
236.0092 -1.275562
237.0074 -1.336862
238.0056 -1.295261
239.0038 -1.428571
240.002 -1.191365
241.0002 -1.268998
243.04 -1.430597
244.0382 -1.377217
245.0364 -1.414123
246.0346 -1.437533
247.0328 -1.406396
248.031 -1.010726
249.0292 -1.240663
250.0274 -1.460587
251.0256 -1.332393
252.0238 -1.506218
253.022 -1.323743
254.0202 -1.416982
256.0166 -1.387456
257.0148 -1.416948
258.013 -1.594027
259.0112 -1.378146
260.0094 -1.554513
262.0058 -1.535015
263.004 -1.602766
264.0022 -1.609268
265.0438 -1.614174
266.042 -1.630554
267.0402 -1.421222
