‪DistAlong ZIDW‬
‪0.0 2.323728
‪0.0434 2.320026‬
‪0.0868 2.318394‬
‪0.1302 2.317948‬
‪0.1736 2.318362‬
‪0.217 2.320359‬
‪0.2604 2.326871‬
‪0.3038 2.336595‬
‪0.3472 2.345425‬
‪0.3906 2.352411‬
‪0.434 2.356575‬
‪0.4774 2.358466‬
‪0.5208 2.358773‬
‪0.5642 2.356901‬
‪0.6076 2.352733‬
‪0.651 2.346299‬
‪0.6944 2.33883‬
‪0.7378 2.330269‬
‪0.7812 2.321558‬
‪0.8246 2.314131‬
‪0.868 2.307455‬
‪0.9114 2.302227‬
‪0.9548 2.298536‬
‪0.9982 2.295405‬
‪1.0416 2.292431‬
‪1.085 2.288985‬
‪1.1284 2.285519‬
‪1.1718 2.281826‬
‪1.2152 2.278274‬
‪1.2586 2.275834‬
‪1.302 2.273269‬
‪1.3454 2.269662‬
‪1.3888 2.262814‬
‪1.4316 2.251423‬
‪1.4756 2.239212‬
‪1.519 2.228041‬
‪1.5624 2.219775‬
‪1.6058 2.215396‬
‪1.6492 2.212209‬
‪1.6926 2.209795‬
‪1.736 2.208354‬
‪1.7794 2.207444‬
‪1.8228 2.207501‬
‪1.8662 2.208557‬
‪1.9096 2.209182‬
‪1.953 2.208224‬
‪1.9964 2.205573‬
‪2.0398 2.201327‬
‪2.0832 2.19392‬
‪2.1266 2.183152‬
‪2.17 2.170072‬
‪2.5606 1.998053‬
‪3.038 2.019824‬
‪3.5588 1.772685‬
‪4.0362 1.740831‬
‪4.557 1.775018‬
‪5.0344 1.641662‬
‪5.5552 1.530661‬
‪6.0326 1.448778‬
‪6.5534 1.476129‬
‪7.0308 1.678952‬
‪7.5516 1.606437‬
‪8.5932 1.564901‬
‪9.6348 1.346333‬
‪10.5462 1.409959‬
‪11.5444 1.07495‬
‪12.5426 0.953159‬
‪13.5408 1.064157‬
‪14.539 0.809922‬
‪15.5372 1.001151‬
‪16.5354 0.887128‬
‪17.6638 0.713452‬
‪18.5318 0.602647‬
‪19.53 0.640131‬
‪21.5698 0.767189‬
‪22.568 0.882263‬
‪23.5662 0.483176‬
‪24.5644 -0.267078‬
‪25.5626 -0.261858‬
‪26.5608 -0.043167‬
‪27.559 0.071762‬
‪28.5572 0.101721‬
‪29.5554 -0.020478‬
‪30.5536 -0.050766‬
‪31.5518 -0.202949‬
‪32.55 -0.397143‬
‪33.5482 -0.465212‬
‪34.5464 -0.505505‬
‪35.5446 -0.462845‬
‪36.5428 -0.462047‬
‪37.541 -0.321225‬
‪38.5392 -0.461351‬
‪39.5374 -0.245685‬
‪40.5356 -0.326718‬
‪41.5338 -0.46833‬
‪42.532 -0.411262‬
‪43.5302 -0.419091‬
‪44.5718 -0.531517‬
‪45.57 -0.35444‬
‪46.5682 -0.263211‬
‪47.5664 -0.287437‬
‪48.5646 -0.32928‬
‪49.5628 -0.427635‬
‪50.561 -0.509826‬
‪51.5592 -0.511606‬
‪52.5574 -0.518797‬
‪53.5556 -0.512287‬
‪54.5538 -0.402352‬
‪55.552 -0.439947‬
‪56.5936 -0.56617‬
‪57.5484 -0.53252‬
‪58.5466 -0.351731‬
‪59.5448 0.250258‬
‪60.543 -0.298819‬
‪61.5412 -0.22934‬
‪62.5394 -0.390365‬
‪63.5376 -0.264419‬
‪64.5358 -0.653284‬
‪65.534 -0.666952‬
‪66.5322 -0.479378‬
‪67.5304 -0.492688‬
‪68.572 -0.437233‬
‪69.657 -0.326723‬
‪70.5684 0.183023‬
‪71.5666 0.329077‬
‪72.5648 0.226‬
‪73.563 0.274575‬
‪75.5594 0.343871‬
‪76.601 0.333403‬
‪77.5558 0.240463‬
‪78.554 0.209997‬
‪79.5956 0.197176‬
‪80.5504 0.108237‬
‪81.592 0.161561‬
‪82.5902 0.014708‬
‪83.545 -0.068355‬
‪84.5432 -0.153267‬
‪85.6282 0.101931‬
‪86.583 -0.191587‬
‪87.5812 -0.376789‬
‪88.5794 -0.367871‬
‪89.5342 -0.174621‬
‪90.5324 -0.299609‬
‪91.6174 -0.453186‬
‪92.6156 -0.534473‬
‪93.5704 -0.536445‬
‪94.5686 -0.447885‬
‪95.5668 -0.371312‬
‪96.565 -0.552005‬
‪97.5632 -0.583363‬
‪98.5614 -0.683925‬
‪99.603 -0.580674‬
‪100.6446 -0.575533‬
‪101.5994 -0.65945‬
‪102.5542 -0.536294‬
‪103.5524 -0.437897‬
‪104.594 -0.290572‬
‪105.5488 -0.289553‬
‪106.547 -0.564969‬
‪107.5452 -0.531409‬
‪108.5426 -0.494504‬
‪109.5416 -0.48952‬
‪110.5398 -0.532592‬
‪111.538 -0.572932‬
‪112.5362 -0.555901‬
‪113.5344 -0.558215‬
‪114.6194 -0.450328‬
‪115.5742 -0.423403‬
‪116.6158 -0.46337‬
‪117.614 -0.555067‬
‪118.6556 -0.623719‬
‪119.6104 -0.732841‬
‪120.5652 -0.769583‬
‪121.5634 -0.864006‬
‪122.5616 -0.88669‬
‪123.5598 -0.818691‬
‪124.558 -0.847838‬
‪125.5562 -0.952964‬
‪126.5544 -0.823021‬
‪127.5526 -0.921568‬
‪128.5508 -0.818446‬
‪129.549 -0.883994‬
‪130.5472 -1.011288‬
‪131.5454 -1.082011‬
‪132.5436 -1.074706‬
‪133.5852 -1.089882‬
‪134.54 -1.034131‬
‪135.5382 -1.042737‬
‪136.5364 -0.861214‬
‪137.5346 -0.772513‬
‪138.5328 -0.773352‬
‪139.531 -0.710232‬
‪140.5726 -0.727086‬
‪141.5708 -0.808464‬
‪142.569 -0.86028‬
‪143.5672 -0.814377‬
‪144.5654 -0.835811‬
‪145.5636 -1.006556‬
‪146.5618 -1.084177‬
‪147.56 -1.106806‬
‪148.5582 -0.775563‬
‪149.5564 -0.793874‬
‪150.5546 -1.008815‬
‪151.5528 -1.129673‬
‪152.551 -1.171582‬
‪153.5926 -1.169214‬
‪154.5474 -1.127363‬
‪155.5456 -1.231623‬
‪156.5438 -1.17145‬
‪157.542 -1.177499‬
‪158.5402 -1.215761‬
‪160.5366 -1.23569‬
‪161.5348 -1.262944‬
‪162.533 -1.251814‬
‪163.5312 -1.279434‬
‪164.5728 -1.259962‬
‪165.571 -1.20354‬
‪166.5692 -1.194141‬
‪167.5674 -1.366296‬
‪168.5656 -1.233999‬
‪169.5638 -1.015349‬
‪170.562 -0.913406‬
‪171.5602 -0.952828‬
‪172.5584 -0.722058‬
‪173.5566 -0.710199‬
‪174.5548 -0.866356‬
‪175.553 -1.003923‬
‪176.5946 -0.959337‬
‪177.5494 -1.001316‬
‪178.5476 -1.025592‬
‪179.5458 -1.009482‬
‪180.5874 -1.130517‬
‪181.5422 -0.990873‬
‪182.5404 -1.099935‬
‪183.5386 -1.073166‬
‪184.5368 -1.058048‬
‪185.535 -0.773502‬
‪186.5332 -0.652944‬
‪187.5314 -0.646714‬
‪188.5296 -0.71627‬
‪189.5712 -0.734147‬
‪190.5694 -0.63522‬
‪191.5676 -0.672097‬
‪192.5658 -0.689346‬
‪193.6074 -0.904072‬
‪194.6056 -0.908906‬
‪195.5604 -0.689081‬
‪196.5586 -0.730523‬
‪197.5568 -0.776168‬
‪198.5984 -0.765788‬
‪199.5532 -0.796011‬
‪200.5948 -0.878552‬
‪201.5496 -1.014373‬
‪202.5478 -0.926019‬
‪203.5894 -0.891537‬
‪204.5442 -1.030582‬
‪205.5424 -0.982512‬
‪205.5858 -0.978779‬
‪206.5406 -1.0708‬
‪207.5388 -1.275562‬
‪208.537 -1.336862‬
‪209.5352 -1.295261‬
‪210.5334 -1.428571‬
‪211.5316 -1.191365‬
‪212.5298 -1.268998‬
‪214.5696 -1.430597‬
‪215.5678 -1.377217‬
‪216.566 -1.414123‬
‪217.5642 -1.437533‬
‪218.5624 -1.406396‬
‪219.5606 -1.010726‬
‪220.5588 -1.240663‬
‪221.557 -1.460587‬
‪222.5552 -1.332393‬
‪223.5534 -1.506218‬
‪224.5516 -1.323743‬
‪225.5498 -1.416982‬
‪227.5462 -1.387456‬
‪228.5444 -1.416948‬
‪229.5426 -1.594027‬
‪230.5408 -1.378146‬
‪231.539 -1.554513‬
‪233.5354 -1.535015‬
‪234.5336 -1.602766‬
‪235.5318 -1.609268‬
‪236.5734 -1.614174‬
‪237.5716 -1.630554‬
‪238.5698 -1.421222‬
